time [µs] (car1),gt rel. x-position [m] (car1),gt rel. y-position [m] (car1),gt velocity [m/s] (car1),gt yaw angle [rad] (car1),gt yaw rate [rad/s] (car1),gt rel. x-velocity [m/s] (car1),gt rel. y-velocity [m/s] (car1),gt acceleration [m/s^2] (car1),ukf rel. x-position [m] (car1),ukf rel. y-position [m] (car1),ukf velocity [m/s] (car1),ukf yaw angle [rad] (car1),ukf yaw rate [rad/s] (car1),ukf rel. x-velocity [m/s] (car1),ukf rel. y-velocity [m/s] (car1),x-position error [m] (car1),y-position error [m] (car1),velocity error [m/s] (car1),yaw angle error [rad] (car1),yaw rate error [rad/s] (car1),x-velocity error [m/s] (car1),y-velocity error [m/s] (car1),NIS Lidar (car1),NIS Radar (car1),time [µs] (car2),gt rel. x-position [m] (car2),gt rel. y-position [m] (car2),gt velocity [m/s] (car2),gt yaw angle [rad] (car2),gt yaw rate [rad/s] (car2),gt rel. x-velocity [m/s] (car2),gt rel. y-velocity [m/s] (car2),gt acceleration [m/s^2] (car2),ukf rel. x-position [m] (car2),ukf rel. y-position [m] (car2),ukf velocity [m/s] (car2),ukf yaw angle [rad] (car2),ukf yaw rate [rad/s] (car2),ukf rel. x-velocity [m/s] (car2),ukf rel. y-velocity [m/s] (car2),x-position error [m] (car2),y-position error [m] (car2),velocity error [m/s] (car2),yaw angle error [rad] (car2),yaw rate error [rad/s] (car2),x-velocity error [m/s] (car2),y-velocity error [m/s] (car2),NIS Lidar (car2),NIS Radar (car2),time [µs] (car3),gt rel. x-position [m] (car3),gt rel. y-position [m] (car3),gt velocity [m/s] (car3),gt yaw angle [rad] (car3),gt yaw rate [rad/s] (car3),gt rel. x-velocity [m/s] (car3),gt rel. y-velocity [m/s] (car3),gt acceleration [m/s^2] (car3),ukf rel. x-position [m] (car3),ukf rel. y-position [m] (car3),ukf velocity [m/s] (car3),ukf yaw angle [rad] (car3),ukf yaw rate [rad/s] (car3),ukf rel. x-velocity [m/s] (car3),ukf rel. y-velocity [m/s] (car3),x-position error [m] (car3),y-position error [m] (car3),velocity error [m/s] (car3),yaw angle error [rad] (car3),yaw rate error [rad/s] (car3),x-velocity error [m/s] (car3),y-velocity error [m/s] (car3),NIS Lidar (car3),NIS Radar (car3),
0,-9.833333328,4.000000000,5.000000000,0.000000000,0.000000000,5.000000000,0.000000000,0.000000000,-9.791931869,3.925819799,4.430052898,0.000000000,0.000000000,4.430052898,0.000000000,-0.041401459,0.074180201,0.569947102,0.000000000,0.000000000,0.569947102,0.000000000,0.000000000,21.699679323,0,24.799999982,-4.000000000,-6.000000000,0.000000000,0.000000000,-6.000000000,-0.000000000,0.000000000,24.801989845,-3.929983637,-5.405656240,0.000000000,0.000000000,-5.405656240,-0.000000000,-0.001989863,-0.070016363,-0.594343760,0.000000000,0.000000000,-0.594343760,0.000000000,0.000000000,31.984381161,0,-11.966666665,0.000000000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-11.907932913,0.047785009,0.829685686,0.000000000,0.000000000,0.829685686,0.000000000,-0.058733752,-0.047785009,0.170314314,0.000000000,0.000000000,0.170314314,0.000000000,0.000000000,1.748235695,
33333,-9.666666657,4.000000000,5.000000000,0.000000000,0.000000000,5.000000000,0.000000000,0.000000000,-9.762423629,4.088080013,4.448566590,-0.106373556,-0.002239434,4.423421807,-0.472317932,0.095756973,-0.088080013,0.551433410,0.106373556,0.002239434,0.576578193,0.472317932,0.688736097,2.403466714,33333,24.599999964,-4.000000000,-6.000000000,0.000000000,0.000000000,-6.000000000,-0.000000000,0.000000000,24.613483972,-3.784710615,-5.422665664,-0.070113836,-0.002779362,-5.409342347,0.379892458,-0.013484007,-0.215289385,-0.577334336,0.070113836,0.002779362,-0.590657653,-0.379892458,0.255885974,1.661706202,33333,-11.933333330,0.000000000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-11.998944857,0.203336244,0.856955737,-0.000456127,0.000005185,0.856955648,-0.000390881,0.065611527,-0.203336244,0.143044263,0.000456127,-0.000005185,0.143044352,0.000390881,0.125201687,1.432226612,
66666,-9.499999985,4.000000000,5.000000000,0.000000000,0.000000000,5.000000000,0.000000000,0.000000000,-9.707095712,4.118902177,4.465120431,-0.184598977,-0.007043290,4.389257760,-0.819583297,0.207095727,-0.118902177,0.534879569,0.184598977,0.007043290,0.610742240,0.819583297,0.337277766,1.121643939,66666,24.399999946,-4.000000000,-6.000000000,0.000000000,0.000000000,-6.000000000,-0.000000000,0.000000000,24.401689061,-3.798383551,-5.451807407,-0.058960855,-0.000993606,-5.442333868,0.321257018,-0.001689115,-0.201616449,-0.548192593,0.058960855,0.000993606,-0.557666132,-0.321257018,1.553158992,3.459067125,66666,-11.899999995,0.000000000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-12.055467211,0.197870107,0.842720732,-0.003170470,-0.000201127,0.842716496,-0.002671817,0.155467216,-0.197870107,0.157279268,0.003170470,0.000201127,0.157283504,0.002671817,0.320651998,2.216944361,
100000,-9.333333313,4.000000000,5.000000000,0.000000000,0.000000000,5.000000000,0.000000000,0.000000000,-9.485901091,4.054589636,4.553574507,-0.430580148,-0.037594660,4.137941302,-1.900653196,0.152567778,-0.054589636,0.446425493,0.430580148,0.037594660,0.862058698,1.900653196,1.709659552,1.093199888,100000,24.199999928,-4.000000000,-6.000000000,0.000000000,0.000000000,-6.000000000,-0.000000000,0.000000000,24.232133648,-3.838682989,-5.500498599,-0.182446045,-0.016410997,-5.409205920,0.997986051,-0.032133720,-0.161317011,-0.499501401,0.182446045,0.016410997,-0.590794080,-0.997986051,0.625172627,1.068731201,100000,-11.866666660,0.000000000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-11.981971275,0.150069661,0.935406313,-0.046737507,-0.004800063,0.934384851,-0.043702645,0.115304616,-0.150069661,0.064593687,0.046737507,0.004800063,0.065615149,0.043702645,1.340496192,1.768041041,
133333,-9.166666642,4.000000000,5.000000000,0.000000000,0.000000000,5.000000000,0.000000000,0.000000000,-9.295846588,4.021113937,4.685714366,-0.436861070,-0.062328774,4.245651743,-1.982513656,0.129179946,-0.021113937,0.314285634,0.436861070,0.062328774,0.754348257,1.982513656,1.517482741,1.155523377,133333,23.999999911,-4.000000000,-6.000000000,0.000000000,0.000000000,-6.000000000,-0.000000000,0.000000000,24.051741045,-3.830460934,-5.621772625,-0.234404027,-0.038345123,-5.468033654,1.305731752,-0.051741134,-0.169539066,-0.378227375,0.234404027,0.038345123,-0.531966346,-1.305731752,0.268351802,1.539130313,133333,-11.833333325,0.000000000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-11.920068144,0.137809901,1.016207966,-0.053957916,-0.005508343,1.014729002,-0.054805861,0.086734819,-0.137809901,-0.016207966,0.053957916,0.005508343,-0.014729002,0.054805861,0.717369217,1.701413980,
166666,-8.999999970,4.000000000,5.000000000,0.000000000,0.000000000,5.000000000,0.000000000,0.000000000,-9.126268251,3.946078312,4.722997822,-0.437214154,-0.059256115,4.278727864,-1.999799064,0.126268281,0.053921688,0.277002178,0.437214154,0.059256115,0.721272136,1.999799064,0.183038306,3.352473239,166666,23.799999893,-4.000000000,-6.000000000,0.000000000,0.000000000,-6.000000000,-0.000000000,0.000000000,23.790000897,-3.922243493,-5.777025945,-0.015579016,-0.063754741,-5.776324900,0.089996738,0.009998995,-0.077756507,-0.222974055,0.015579016,0.063754741,-0.223675100,-0.089996738,3.137406331,2.811241528,166666,-11.799999990,0.000000000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-11.880283209,0.077514250,1.057293456,-0.239105837,-0.031591694,1.027213596,-0.250403036,0.080283220,-0.077514250,-0.057293456,0.239105837,0.031591694,-0.027213596,0.250403036,2.097045683,3.710130871,
200000,-8.833333299,4.000000000,5.000000000,0.000000000,0.000000000,5.000000000,0.000000000,0.000000000,-8.974978399,3.880160436,4.567883564,-0.459494330,-0.103572843,4.094088403,-2.025833263,0.141645101,0.119839564,0.432116436,0.459494330,0.103572843,0.905911597,2.025833263,0.588311547,4.577314161,200000,23.599999875,-4.000000000,-6.000000000,0.000000000,0.000000000,-6.000000000,-0.000000000,0.000000000,23.574107820,-4.047640686,-5.885026975,0.171681442,-0.006908942,-5.798510626,-1.005393962,0.025892055,0.047640686,-0.114973025,-0.171681442,0.006908942,-0.201489374,1.005393962,2.630269291,1.136472636,200000,-11.766666654,0.000000000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-11.851726390,-0.001608753,1.075786093,-0.650406085,-0.102303323,0.856151426,-0.651398843,0.085059736,0.001608753,-0.075786093,0.650406085,0.102303323,0.143848574,0.651398843,2.845972162,0.995634499,
233333,-8.666666627,4.000000000,5.000000000,0.000000000,0.000000000,5.000000000,0.000000000,0.000000000,-8.840688531,3.856880466,4.532643927,-0.387147837,-0.047959594,4.197181390,-1.711294641,0.174021904,0.143119534,0.467356073,0.387147837,0.047959594,0.802818610,1.711294641,0.591310977,0.033762453,233333,23.399999857,-4.000000000,-6.000000000,0.000000000,0.000000000,-6.000000000,-0.000000000,0.000000000,23.349920228,-4.057830375,-5.939402334,0.121551826,-0.186961073,-5.895579451,-0.720168743,0.050079629,0.057830375,-0.060597666,-0.121551826,0.186961073,-0.104420549,0.720168743,1.633181418,1.171076543,233333,-11.733333319,0.000000000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-11.843991638,-0.014712825,1.078741198,-0.462925214,-0.052898048,0.965203712,-0.481730597,0.110658319,0.014712825,-0.078741198,0.462925214,0.052898048,0.034796288,0.481730597,0.661517525,1.245333712,
266666,-8.499999955,4.000000000,5.000000000,0.000000000,0.000000000,5.000000000,0.000000000,0.000000000,-8.665465327,3.842960333,4.630574744,-0.310828475,0.008832396,4.408679963,-1.416249782,0.165465372,0.157039667,0.369425256,0.310828475,-0.008832396,0.591320037,1.416249782,1.958090354,7.687620234,266666,23.199999839,-4.000000000,-6.000000000,0.000000000,0.000000000,-6.000000000,-0.000000000,0.000000000,23.173036535,-4.121071202,-6.072654766,0.100126185,-0.603091758,-6.042240238,-0.607016315,0.026963304,0.121071202,0.072654766,-0.100126185,0.603091758,0.042240238,0.607016315,1.102782685,7.772482371,266666,-11.699999984,0.000000000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-11.806926361,-0.056098627,1.161174714,-0.234425158,0.050421142,1.129414297,-0.269722197,0.106926377,0.056098627,-0.161174714,0.234425158,-0.050421142,-0.129414297,0.269722197,2.534142070,5.439129363,
300000,-8.333333284,4.000000000,5.000000000,0.000000000,0.000000000,5.000000000,0.000000000,0.000000000,-8.507589618,3.846078901,4.631379380,-0.234270271,0.120203085,4.504868596,-1.075097156,0.174256335,0.153921099,0.368620620,0.234270271,-0.120203085,0.495131404,1.075097156,0.994773565,0.400590561,300000,22.999999821,-4.000000000,-6.000000000,0.000000000,0.000000000,-6.000000000,-0.000000000,0.000000000,22.949922807,-4.104571730,-6.060325537,0.043587484,-0.696252008,-6.054569537,-0.264070707,0.050077014,0.104571730,0.060325537,-0.043587484,0.696252008,0.054569537,0.264070707,1.928669233,0.772930041,300000,-11.666666649,0.000000000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,-11.782433520,-0.057412357,1.144693585,-0.203649287,0.057841666,1.121038552,-0.231508033,0.115766871,0.057412357,-0.144693585,0.203649287,-0.057841666,-0.121038552,0.231508033,0.558906084,1.434810983,
